Id, Date, Value, Class
0001,2015-01-01 00:00:00.000,073,3
0002,2015-01-01 01:00:00.000,073,3
0003,2015-01-01 02:00:00.000,055,3
0004,2015-01-01 03:00:00.000,061,3
0005,2015-01-01 04:00:00.000,062,3
0006,2015-01-01 05:00:00.000,057,3
0007,2015-01-01 06:00:00.000,046,2
0008,2015-01-01 07:00:00.000,036,2
0009,2015-01-01 08:00:00.000,032,1
0010,2015-01-01 09:00:00.000,034,2
0011,2015-01-01 10:00:00.000,037,2
0012,2015-01-01 11:00:00.000,045,2
0013,2015-01-01 12:00:00.000,055,3
0014,2015-01-01 13:00:00.000,058,3
0015,2015-01-01 14:00:00.000,062,3
0016,2015-01-01 15:00:00.000,060,3
0017,2015-01-01 16:00:00.000,055,3
0018,2015-01-01 17:00:00.000,058,3
0019,2015-01-01 18:00:00.000,059,3
0020,2015-01-01 19:00:00.000,070,3
0021,2015-01-01 20:00:00.000,077,3
0022,2015-01-01 21:00:00.000,063,3
0023,2015-01-01 22:00:00.000,084,4
0024,2015-01-01 23:00:00.000,089,4
0025,2015-01-02 00:00:00.000,097,4
0026,2015-01-02 01:00:00.000,095,4
0027,2015-01-02 02:00:00.000,107,4
0028,2015-01-02 03:00:00.000,094,4
0029,2015-01-02 04:00:00.000,095,4
0030,2015-01-02 05:00:00.000,092,4
0031,2015-01-02 06:00:00.000,084,4
0032,2015-01-02 07:00:00.000,079,3
0033,2015-01-02 08:00:00.000,071,3
0034,2015-01-02 09:00:00.000,065,3
0035,2015-01-02 10:00:00.000,069,3
0036,2015-01-02 11:00:00.000,068,3
0037,2015-01-02 12:00:00.000,059,3
0038,2015-01-02 13:00:00.000,032,1
0039,2015-01-02 14:00:00.000,031,1
0040,2015-01-02 15:00:00.000,020,1
0041,2015-01-02 16:00:00.000,022,1
0042,2015-01-02 17:00:00.000,024,1
0043,2015-01-02 18:00:00.000,023,1
0044,2015-01-02 19:00:00.000,025,1
0045,2015-01-02 20:00:00.000,026,1
0046,2015-01-02 21:00:00.000,030,1
0047,2015-01-02 22:00:00.000,025,1
0048,2015-01-02 23:00:00.000,023,1
0049,2015-01-03 00:00:00.000,020,1
0050,2015-01-03 01:00:00.000,019,1
0051,2015-01-03 02:00:00.000,016,1
0052,2015-01-03 03:00:00.000,014,1
0053,2015-01-03 04:00:00.000,014,1
0054,2015-01-03 05:00:00.000,013,1
0055,2015-01-03 06:00:00.000,012,1
0056,2015-01-03 07:00:00.000,011,1
0057,2015-01-03 08:00:00.000,012,1
0058,2015-01-03 09:00:00.000,017,1
0059,2015-01-03 10:00:00.000,019,1
0060,2015-01-03 11:00:00.000,022,1
0061,2015-01-03 12:00:00.000,019,1
0062,2015-01-03 13:00:00.000,018,1
0063,2015-01-03 14:00:00.000,018,1
0064,2015-01-03 15:00:00.000,021,1
0065,2015-01-03 16:00:00.000,024,1
0066,2015-01-03 17:00:00.000,034,2
0067,2015-01-03 18:00:00.000,035,2
0068,2015-01-03 19:00:00.000,034,2
0069,2015-01-03 20:00:00.000,030,1
0070,2015-01-03 21:00:00.000,023,1
0071,2015-01-03 22:00:00.000,024,1
0072,2015-01-03 23:00:00.000,021,1
0073,2015-01-04 00:00:00.000,016,1
0074,2015-01-04 01:00:00.000,015,1
0075,2015-01-04 02:00:00.000,013,1
0076,2015-01-04 03:00:00.000,015,1
0077,2015-01-04 04:00:00.000,015,1
0078,2015-01-04 05:00:00.000,016,1
0079,2015-01-04 06:00:00.000,015,1
0080,2015-01-04 07:00:00.000,014,1
0081,2015-01-04 08:00:00.000,019,1
0082,2015-01-04 09:00:00.000,014,1
0083,2015-01-04 10:00:00.000,014,1
0084,2015-01-04 11:00:00.000,018,1
0085,2015-01-04 12:00:00.000,016,1
0086,2015-01-04 13:00:00.000,014,1
0087,2015-01-04 14:00:00.000,012,1
0088,2015-01-04 15:00:00.000,013,1
0089,2015-01-04 16:00:00.000,015,1
0090,2015-01-04 17:00:00.000,014,1
0091,2015-01-04 18:00:00.000,015,1
0092,2015-01-04 19:00:00.000,013,1
0093,2015-01-04 20:00:00.000,018,1
0094,2015-01-04 21:00:00.000,019,1
0095,2015-01-04 22:00:00.000,019,1
0096,2015-01-04 23:00:00.000,015,1
0097,2015-01-05 00:00:00.000,011,1
0098,2015-01-05 01:00:00.000,009,1
0099,2015-01-05 02:00:00.000,007,1
0100,2015-01-05 03:00:00.000,006,1
0101,2015-01-05 04:00:00.000,005,1
0102,2015-01-05 05:00:00.000,006,1
0103,2015-01-05 06:00:00.000,008,1
0104,2015-01-05 07:00:00.000,012,1
0105,2015-01-05 08:00:00.000,013,1
0106,2015-01-05 09:00:00.000,015,1
0107,2015-01-05 10:00:00.000,021,1
0108,2015-01-05 11:00:00.000,023,1
0109,2015-01-05 12:00:00.000,029,1
0110,2015-01-05 13:00:00.000,041,2
0111,2015-01-05 14:00:00.000,055,3
0112,2015-01-05 15:00:00.000,057,3
0113,2015-01-05 16:00:00.000,052,3
0114,2015-01-05 17:00:00.000,055,3
0115,2015-01-05 18:00:00.000,037,2
0116,2015-01-05 19:00:00.000,032,1
