[09:38:20] 1080x898 matrix with 153075 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg3_train.txt
[('max_depth', 1), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:66.8599      eval-rmse:65.7149
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[1]     train-rmse:62.0092      eval-rmse:61.4754
[2]     train-rmse:57.7649      eval-rmse:57.921
[3]     train-rmse:54.0409      eval-rmse:54.5973
[4]     train-rmse:50.7543      eval-rmse:51.9978
[5]     train-rmse:47.9152      eval-rmse:49.7146
[6]     train-rmse:45.4107      eval-rmse:47.473
[7]     train-rmse:43.2495      eval-rmse:45.6019
[8]     train-rmse:41.3554      eval-rmse:44.2156
[9]     train-rmse:39.72        eval-rmse:42.7452
[10]    train-rmse:38.3051      eval-rmse:41.6456
[11]    train-rmse:37.0521      eval-rmse:40.8096
[12]    train-rmse:35.9664      eval-rmse:39.7757
[13]    train-rmse:35.0112      eval-rmse:39.4468
[14]    train-rmse:34.1682      eval-rmse:38.7753
[15]    train-rmse:33.4076      eval-rmse:38.0974
[16]    train-rmse:32.7619      eval-rmse:37.6904
[17]    train-rmse:32.1785      eval-rmse:37.2357
[18]    train-rmse:31.6525      eval-rmse:36.7338
[09:38:20] 336x898 matrix with 47025 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg3_test.txt
[19]    train-rmse:31.1808      eval-rmse:36.6807
[20]    train-rmse:30.7519      eval-rmse:36.2771
[21]    train-rmse:30.3452      eval-rmse:36.0025
[22]    train-rmse:29.9833      eval-rmse:35.5168
[23]    train-rmse:29.6476      eval-rmse:35.5097
[24]    train-rmse:29.3386      eval-rmse:35.2079
[25]    train-rmse:29.043       eval-rmse:34.9507
[26]    train-rmse:28.7763      eval-rmse:34.6561
[27]    train-rmse:28.4992      eval-rmse:34.5258
[28]    train-rmse:28.2647      eval-rmse:34.2208
[29]    train-rmse:28.025       eval-rmse:34.1567
[30]    train-rmse:27.8084      eval-rmse:34.1681
[31]    train-rmse:27.5982      eval-rmse:33.9096
[32]    train-rmse:27.3871      eval-rmse:33.6495
[33]    train-rmse:27.1901      eval-rmse:33.3644
[34]    train-rmse:26.9972      eval-rmse:33.2055
[35]    train-rmse:26.8032      eval-rmse:32.942
[36]    train-rmse:26.6181      eval-rmse:32.9314
[37]    train-rmse:26.4459      eval-rmse:32.6394
[38]    train-rmse:26.2716      eval-rmse:32.388
[39]    train-rmse:26.108       eval-rmse:32.4439
[40]    train-rmse:25.9467      eval-rmse:32.2363
[41]    train-rmse:25.7857      eval-rmse:32.1845
[42]    train-rmse:25.6276      eval-rmse:31.973
[43]    train-rmse:25.4818      eval-rmse:31.7622
[44]    train-rmse:25.3427      eval-rmse:31.5534
[45]    train-rmse:25.1953      eval-rmse:31.7559
[46]    train-rmse:25.0599      eval-rmse:31.4614
[47]    train-rmse:24.9279      eval-rmse:31.4001
[48]    train-rmse:24.797       eval-rmse:31.2212
[49]    train-rmse:24.6713      eval-rmse:31.0361
[50]    train-rmse:24.5411      eval-rmse:30.9235
[51]    train-rmse:24.4159      eval-rmse:30.9174
[52]    train-rmse:24.299       eval-rmse:30.9133
[53]    train-rmse:24.1839      eval-rmse:30.7306
[54]    train-rmse:24.0665      eval-rmse:30.6757
[55]    train-rmse:23.9561      eval-rmse:30.5019
[56]    train-rmse:23.8434      eval-rmse:30.3241
[57]    train-rmse:23.729       eval-rmse:30.2338
[58]    train-rmse:23.6255      eval-rmse:30.0851
[59]    train-rmse:23.5205      eval-rmse:30.0572
[60]    train-rmse:23.4203      eval-rmse:29.9076
[61]    train-rmse:23.3208      eval-rmse:29.7488
[62]    train-rmse:23.225       eval-rmse:29.6315
[63]    train-rmse:23.1304      eval-rmse:29.481
[64]    train-rmse:23.0363      eval-rmse:29.6186
[65]    train-rmse:22.944       eval-rmse:29.4795
[66]    train-rmse:22.8527      eval-rmse:29.4756
[67]    train-rmse:22.7655      eval-rmse:29.3116
[68]    train-rmse:22.6802      eval-rmse:29.1722
[69]    train-rmse:22.597       eval-rmse:29.1678
[70]    train-rmse:22.5156      eval-rmse:29.0963
[71]    train-rmse:22.4363      eval-rmse:28.9655
[72]    train-rmse:22.357       eval-rmse:28.9253
[73]    train-rmse:22.2792      eval-rmse:28.8133
[74]    train-rmse:22.2022      eval-rmse:28.6928
[75]    train-rmse:22.1285      eval-rmse:28.532
[76]    train-rmse:22.0554      eval-rmse:28.5029
[77]    train-rmse:21.9821      eval-rmse:28.5003
[78]    train-rmse:21.9111      eval-rmse:28.3983
[79]    train-rmse:21.8416      eval-rmse:28.4045
[80]    train-rmse:21.7737      eval-rmse:28.4034
[81]    train-rmse:21.7086      eval-rmse:28.2588
[82]    train-rmse:21.6426      eval-rmse:28.0813
[83]    train-rmse:21.5802      eval-rmse:27.9676
[84]    train-rmse:21.5136      eval-rmse:27.946
[85]    train-rmse:21.4528      eval-rmse:27.8433
[86]    train-rmse:21.3906      eval-rmse:27.8347
[87]    train-rmse:21.3317      eval-rmse:27.8324
[88]    train-rmse:21.2724      eval-rmse:27.7443
[89]    train-rmse:21.2151      eval-rmse:27.6472
[90]    train-rmse:21.1568      eval-rmse:27.5284
[91]    train-rmse:21.1021      eval-rmse:27.4331
[92]    train-rmse:21.0456      eval-rmse:27.3468
[93]    train-rmse:20.9926      eval-rmse:27.3542
[94]    train-rmse:20.9406      eval-rmse:27.3595
[95]    train-rmse:20.889       eval-rmse:27.3566
[96]    train-rmse:20.8394      eval-rmse:27.3549
[97]    train-rmse:20.7903      eval-rmse:27.3341
[98]    train-rmse:20.7426      eval-rmse:27.3308
[99]    train-rmse:20.6951      eval-rmse:27.2849
[100]   train-rmse:20.6459      eval-rmse:27.1704
[101]   train-rmse:20.5993      eval-rmse:27.1005
[102]   train-rmse:20.5538      eval-rmse:27.0875
