Inside the function :  30
Outside the function :  30
[('max_depth', 6), ('booster', 'gblinear'), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:36.8745      eval-rmse:49.2449
[09:10:42] 1080x898 matrix with 136418 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg2_train.txt
[09:10:42] 336x898 matrix with 42950 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg2_test.txt
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[1]     train-rmse:32.9571      eval-rmse:51.0594
[2]     train-rmse:30.5221      eval-rmse:52.1757
[3]     train-rmse:28.8652      eval-rmse:51.5547
[4]     train-rmse:27.7264      eval-rmse:50.1605
[5]     train-rmse:26.9481      eval-rmse:48.877
[6]     train-rmse:26.3871      eval-rmse:47.6899
[7]     train-rmse:25.9357      eval-rmse:45.3748
[8]     train-rmse:25.585       eval-rmse:43.2974
[9]     train-rmse:25.3081      eval-rmse:41.2431
[10]    train-rmse:25.0811      eval-rmse:39.5863
[11]    train-rmse:24.8934      eval-rmse:37.9904
[12]    train-rmse:24.7308      eval-rmse:36.6991
[13]    train-rmse:24.5851      eval-rmse:35.6694
[14]    train-rmse:24.4581      eval-rmse:34.8367
[15]    train-rmse:24.3437      eval-rmse:34.0778
[16]    train-rmse:24.2387      eval-rmse:33.4505
[17]    train-rmse:24.1434      eval-rmse:32.8985
[18]    train-rmse:24.0555      eval-rmse:32.4982
[19]    train-rmse:23.9745      eval-rmse:32.1552
[20]    train-rmse:23.8991      eval-rmse:31.8851
[21]    train-rmse:23.8262      eval-rmse:31.6479
[22]    train-rmse:23.7595      eval-rmse:31.4578
[23]    train-rmse:23.6953      eval-rmse:31.3107
[24]    train-rmse:23.6338      eval-rmse:31.1839
[25]    train-rmse:23.5757      eval-rmse:31.0735
[26]    train-rmse:23.5209      eval-rmse:30.9704
[27]    train-rmse:23.4684      eval-rmse:30.8708
[28]    train-rmse:23.4178      eval-rmse:30.7855
[29]    train-rmse:23.3715      eval-rmse:30.7051
[30]    train-rmse:23.3261      eval-rmse:30.6319
[31]    train-rmse:23.2834      eval-rmse:30.5718
[32]    train-rmse:23.2421      eval-rmse:30.5143
[33]    train-rmse:23.2012      eval-rmse:30.4705
[34]    train-rmse:23.1635      eval-rmse:30.4121
[35]    train-rmse:23.1263      eval-rmse:30.3763
[36]    train-rmse:23.091       eval-rmse:30.3179
[37]    train-rmse:23.0565      eval-rmse:30.2694
[38]    train-rmse:23.0233      eval-rmse:30.2322
[39]    train-rmse:22.9915      eval-rmse:30.1881
[40]    train-rmse:22.9605      eval-rmse:30.1357
[41]    train-rmse:22.9309      eval-rmse:30.1008
[42]    train-rmse:22.9029      eval-rmse:30.0596
[43]    train-rmse:22.8749      eval-rmse:30.0086
[44]    train-rmse:22.8492      eval-rmse:29.9642
[45]    train-rmse:22.823       eval-rmse:29.9351
[46]    train-rmse:22.7987      eval-rmse:29.8946
[47]    train-rmse:22.774       eval-rmse:29.8566
[48]    train-rmse:22.7517      eval-rmse:29.809
[49]    train-rmse:22.7299      eval-rmse:29.7671
[50]    train-rmse:22.7082      eval-rmse:29.7326
[51]    train-rmse:22.6867      eval-rmse:29.6983
[52]    train-rmse:22.6662      eval-rmse:29.6662
[53]    train-rmse:22.646       eval-rmse:29.641
[54]    train-rmse:22.6272      eval-rmse:29.6039
[55]    train-rmse:22.6086      eval-rmse:29.5726
[56]    train-rmse:22.59        eval-rmse:29.5511
[57]    train-rmse:22.572       eval-rmse:29.5128
[58]    train-rmse:22.5556      eval-rmse:29.4751
[59]    train-rmse:22.5395      eval-rmse:29.443
[60]    train-rmse:22.5235      eval-rmse:29.4154
[61]    train-rmse:22.5075      eval-rmse:29.3899
