głębokość drzewa,klasyfikacja,Klasyfikacja 200,regersja,regersja logistyczna,regresja na klasyfikacji,dart klasyfikacja,dart regresja,linear klsyfikacja,linear regresja
1,0.67,0.5,0.55,0.65,0.56,0.67,0.56,0.55,0.53
2,0.69,0.5,0.54,,0.59,0.69,0.62,,
3,0.71,0.5,0.65,,0.49,0.71,0.66,,
4,0.68,0.5,0.64,,0.52,0.68,0.65,,
5,0.68,0.5,0.65,,0.54,0.68,0.63,,
6,0.66,0.5,0.66,,0.49,0.66,0.67,,
7,0.65,0.5,0.68,,0.48,0.65,0.64,,
8,0.63,0.5,0.66,,0.48,0.63,0.61,,
9,0.63,0.5,0.66,,0.52,0.63,0.63,,
10,0.65,0.5,0.67,,0.54,0.65,0.62,,
